OTU,Kingdom,Phylum,Class,Order,Family,Genus,Species
OTU533,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,Intestinimonas,NA
OTU534,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae NK4A136 group,NA
OTU535,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,NA,NA
OTU536,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Incertae Sedis,NA
OTU537,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,NA,NA
OTU538,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,NA,NA
OTU539,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,NA
OTU540,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae NK4A136 group,NA
OTU541,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae NK4A136 group,NA
OTU542,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnoclostridium,NA
OTU543,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae NK4A136 group,NA
OTU544,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,NA,NA
OTU545,Bacteria,Firmicutes,Clostridia,Clostridia UCG-014,NA,NA,NA
OTU546,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,NA,NA
OTU547,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae NK4A136 group,NA
OTU548,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Roseburia,NA
OTU549,Bacteria,Firmicutes,Clostridia,Lachnospirales,Defluviitaleaceae,Defluviitaleaceae UCG-011,NA
OTU550,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,NA,NA
OTU551,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae NK4A136 group,NA
OTU552,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae NK4A136 group,NA
